canonical_id,dow,hour,busyness,busyness_pct
cv_0155,4,4,58.0,0.3
cv_0155,4,5,82.7,0.4
cv_0155,4,6,232.9,1.0
cv_0155,4,7,515.9,2.3
cv_0155,4,8,894.5,4.0
cv_0155,4,9,765.7,3.4
cv_0155,4,10,728.6,3.2
cv_0155,4,11,868.6,3.8
cv_0155,4,12,1114.1,4.9
cv_0155,4,13,1396.1,6.2
cv_0155,4,14,1906.2,8.4
cv_0155,4,15,2491.1,11.0
cv_0155,4,16,2696.1,11.9
cv_0155,4,17,2767.6,12.2
cv_0155,4,18,2519.9,11.1
cv_0155,4,19,2092.2,9.2
cv_0155,4,20,1752.5,7.7
cv_0155,4,21,1660.0,7.3
cv_0155,4,22,1509.4,6.7
cv_0155,4,23,1190.9,5.3
cv_0155,5,0,836.6,3.7
cv_0155,5,1,493.4,2.2
cv_0155,5,2,289.1,1.3
cv_0155,5,3,161.9,0.7
cv_0155,5,4,101.4,0.4
cv_0155,5,5,62.4,0.3
cv_0155,5,6,113.4,0.5
cv_0155,5,7,162.5,0.7
cv_0155,5,8,255.0,1.1
cv_0155,5,9,409.2,1.8
cv_0155,5,10,627.8,2.8
cv_0155,5,11,896.1,4.0
cv_0155,5,12,1282.6,5.7
cv_0155,5,13,1629.0,7.2
cv_0155,5,14,1866.3,8.2
cv_0155,5,15,2126.6,9.4
cv_0155,5,16,2195.0,9.7
cv_0155,5,17,2176.7,9.6
cv_0155,5,18,2152.5,9.5
cv_0155,5,19,1949.0,8.6
cv_0155,5,20,1557.2,6.9
cv_0155,5,21,1461.6,6.5
cv_0155,5,22,1317.2,5.8
cv_0155,5,23,1141.1,5.0
cv_0155,6,0,824.3,3.6
cv_0155,6,1,490.9,2.2
cv_0155,6,2,284.3,1.3
cv_0155,6,3,164.8,0.7
cv_0155,6,4,113.8,0.5
cv_0155,6,5,62.2,0.3
cv_0155,6,6,90.1,0.4
cv_0155,6,7,136.8,0.6
cv_0155,6,8,198.9,0.9
cv_0155,6,9,328.2,1.5
cv_0155,6,10,533.0,2.4
cv_0155,6,11,774.1,3.4
cv_0155,6,12,1073.3,4.7
cv_0155,6,13,1335.8,5.9
cv_0155,6,14,1512.1,6.7
cv_0155,6,15,1639.6,7.2
cv_0155,6,16,1679.5,7.4
cv_0155,6,17,1673.3,7.4
cv_0155,6,18,1574.2,7.0
cv_0155,6,19,1273.3,5.6
cv_0155,6,20,1102.4,4.9
cv_0155,6,21,993.5,4.4
cv_0155,6,22,803.1,3.5
cv_0155,6,23,494.1,2.2
cv_0156,0,0,1570.5,6.9
cv_0156,0,1,600.8,2.7
cv_0156,0,2,302.3,1.3
cv_0156,0,3,185.9,0.8
cv_0156,0,4,291.0,1.3
cv_0156,0,5,1981.4,8.8
cv_0156,0,6,5326.1,23.5
cv_0156,0,7,9612.0,42.5
cv_0156,0,8,12522.4,55.3
cv_0156,0,9,9302.6,41.1
cv_0156,0,10,6151.8,27.2
cv_0156,0,11,5572.2,24.6
cv_0156,0,12,5604.9,24.8
cv_0156,0,13,6092.1,26.9
cv_0156,0,14,6994.1,30.9
cv_0156,0,15,8160.1,36.0
cv_0156,0,16,10667.6,47.1
cv_0156,0,17,15849.1,70.0
cv_0156,0,18,12346.8,54.5
cv_0156,0,19,7889.2,34.9
cv_0156,0,20,6173.2,27.3
cv_0156,0,21,5734.2,25.3
cv_0156,0,22,4821.9,21.3
cv_0156,0,23,2777.0,12.3
cv_0156,1,0,1582.8,7.0
cv_0156,1,1,578.2,2.6
cv_0156,1,2,291.4,1.3
cv_0156,1,3,186.2,0.8
cv_0156,1,4,302.9,1.3
cv_0156,1,5,2245.6,9.9
cv_0156,1,6,6093.7,26.9
cv_0156,1,7,11474.4,50.7
cv_0156,1,8,16297.9,72.0
cv_0156,1,9,11877.0,52.5
cv_0156,1,10,6794.8,30.0
cv_0156,1,11,5868.3,25.9
cv_0156,1,12,5970.6,26.4
cv_0156,1,13,6413.5,28.3
cv_0156,1,14,7455.7,32.9
cv_0156,1,15,8985.5,39.7
cv_0156,1,16,12328.9,54.5
cv_0156,1,17,19808.6,87.5
cv_0156,1,18,15282.3,67.5
cv_0156,1,19,9359.0,41.3
cv_0156,1,20,7228.6,31.9
cv_0156,1,21,7802.1,34.5
cv_0156,1,22,6400.3,28.3
cv_0156,1,23,3331.6,14.7
cv_0156,2,0,1800.6,8.0
cv_0156,2,1,689.4,3.0
cv_0156,2,2,346.2,1.5
cv_0156,2,3,218.7,1.0
cv_0156,2,4,318.5,1.4
cv_0156,2,5,2225.2,9.8
cv_0156,2,6,6016.8,26.6
cv_0156,2,7,11201.2,49.5
cv_0156,2,8,15970.8,70.6
cv_0156,2,9,11838.5,52.3
cv_0156,2,10,6791.7,30.0
cv_0156,2,11,5936.6,26.2
cv_0156,2,12,6064.1,26.8
cv_0156,2,13,6652.0,29.4
cv_0156,2,14,7540.8,33.3
cv_0156,2,15,9099.9,40.2
cv_0156,2,16,12825.0,56.7
cv_0156,2,17,19791.4,87.4
cv_0156,2,18,15206.0,67.2
cv_0156,2,19,9381.0,41.4
cv_0156,2,20,7358.1,32.5
cv_0156,2,21,7423.3,32.8
cv_0156,2,22,6776.1,29.9
cv_0156,2,23,3585.3,15.8
cv_0156,3,0,1972.5,8.7
cv_0156,3,1,750.2,3.3
cv_0156,3,2,357.9,1.6
cv_0156,3,3,226.1,1.0
cv_0156,3,4,318.9,1.4
cv_0156,3,5,2168.0,9.6
cv_0156,3,6,5770.0,25.5
cv_0156,3,7,10523.9,46.5
cv_0156,3,8,14684.8,64.9
cv_0156,3,9,11181.2,49.4
cv_0156,3,10,6742.7,29.8
cv_0156,3,11,6045.2,26.7
cv_0156,3,12,6147.2,27.2
cv_0156,3,13,6663.8,29.4
cv_0156,3,14,7649.7,33.8
cv_0156,3,15,9110.7,40.2
cv_0156,3,16,12067.3,53.3
cv_0156,3,17,18428.7,81.4
cv_0156,3,18,14709.6,65.0
cv_0156,3,19,9354.6,41.3
cv_0156,3,20,7372.7,32.6
cv_0156,3,21,7878.3,34.8
cv_0156,3,22,6842.0,30.2
cv_0156,3,23,3894.9,17.2
cv_0156,4,0,2334.7,10.3
cv_0156,4,1,845.5,3.7
cv_0156,4,2,393.8,1.7
cv_0156,4,3,244.0,1.1
cv_0156,4,4,329.5,1.5
cv_0156,4,5,1992.0,8.8
cv_0156,4,6,4965.8,21.9
cv_0156,4,7,7961.1,35.2
cv_0156,4,8,9369.1,41.4
cv_0156,4,9,7607.5,33.6
cv_0156,4,10,6366.5,28.1
cv_0156,4,11,6091.3,26.9
cv_0156,4,12,6321.7,27.9
cv_0156,4,13,7107.6,31.4
cv_0156,4,14,8233.1,36.4
cv_0156,4,15,9453.6,41.8
cv_0156,4,16,11622.7,51.3
cv_0156,4,17,13640.3,60.3
cv_0156,4,18,11491.0,50.8
cv_0156,4,19,8935.1,39.5
cv_0156,4,20,7304.8,32.3
cv_0156,4,21,7832.5,34.6
cv_0156,4,22,7549.8,33.4
cv_0156,4,23,4811.7,21.3
cv_0156,5,0,3152.0,13.9
cv_0156,5,1,1424.0,6.3
cv_0156,5,2,707.8,3.1
cv_0156,5,3,413.9,1.8
cv_0156,5,4,362.5,1.6
cv_0156,5,5,541.4,2.4
cv_0156,5,6,1411.1,6.2
cv_0156,5,7,1993.2,8.8
cv_0156,5,8,2996.6,13.2
cv_0156,5,9,4287.1,18.9
cv_0156,5,10,5375.0,23.7
cv_0156,5,11,6230.4,27.5
cv_0156,5,12,6627.5,29.3
cv_0156,5,13,7187.9,31.8
cv_0156,5,14,7610.3,33.6
cv_0156,5,15,8232.1,36.4
cv_0156,5,16,9417.4,41.6
cv_0156,5,17,9099.0,40.2
cv_0156,5,18,8635.9,38.2
cv_0156,5,19,7532.2,33.3
cv_0156,5,20,6412.3,28.3
cv_0156,5,21,6387.8,28.2
cv_0156,5,22,7415.1,32.8
cv_0156,5,23,5333.3,23.6
cv_0156,6,0,3018.7,13.3
cv_0156,6,1,1450.1,6.4
cv_0156,6,2,727.3,3.2
cv_0156,6,3,428.2,1.9
cv_0156,6,4,364.6,1.6
cv_0156,6,5,401.9,1.8
cv_0156,6,6,995.1,4.4
cv_0156,6,7,1463.0,6.5
cv_0156,6,8,2339.4,10.3
cv_0156,6,9,3635.9,16.1
cv_0156,6,10,4503.6,19.9
cv_0156,6,11,5239.4,23.1
cv_0156,6,12,5620.3,24.8
cv_0156,6,13,6086.9,26.9
cv_0156,6,14,6451.9,28.5
cv_0156,6,15,6852.4,30.3
cv_0156,6,16,7550.9,33.4
cv_0156,6,17,8131.4,35.9
cv_0156,6,18,7377.8,32.6
cv_0156,6,19,6167.0,27.2
cv_0156,6,20,5485.8,24.2
cv_0156,6,21,5314.2,23.5
cv_0156,6,22,4412.3,19.5
cv_0156,6,23,2693.4,11.9
cv_0157,0,0,485.7,2.1
cv_0157,0,1,190.3,0.8
cv_0157,0,2,92.4,0.4
cv_0157,0,3,52.4,0.2
cv_0157,0,4,64.9,0.3
cv_0157,0,5,611.5,2.7
cv_0157,0,6,2159.8,9.5
cv_0157,0,7,5053.7,22.3
cv_0157,0,8,7516.3,33.2
cv_0157,0,9,5309.7,23.5
cv_0157,0,10,3631.0,16.0
cv_0157,0,11,3465.8,15.3
cv_0157,0,12,3742.6,16.5
cv_0157,0,13,4089.4,18.1
cv_0157,0,14,5031.0,22.2
cv_0157,0,15,6590.9,29.1
cv_0157,0,16,9321.8,41.2
cv_0157,0,17,15816.3,69.9
cv_0157,0,18,11433.6,50.5
cv_0157,0,19,6069.7,26.8
cv_0157,0,20,3800.6,16.8
cv_0157,0,21,2687.1,11.9
cv_0157,0,22,2028.2,9.0
cv_0157,0,23,1280.7,5.7
cv_0157,1,0,944.1,4.2
cv_0157,1,1,258.9,1.1
cv_0157,1,2,112.7,0.5
cv_0157,1,3,58.9,0.3
cv_0157,1,4,77.2,0.3
cv_0157,1,5,726.6,3.2
cv_0157,1,6,2463.9,10.9
cv_0157,1,7,6220.6,27.5
cv_0157,1,8,10264.2,45.3
cv_0157,1,9,7038.5,31.1
cv_0157,1,10,4174.7,18.4
cv_0157,1,11,3764.8,16.6
cv_0157,1,12,4109.2,18.2
cv_0157,1,13,4531.1,20.0
cv_0157,1,14,5621.3,24.8
cv_0157,1,15,7529.7,33.3
cv_0157,1,16,11439.7,50.5
cv_0157,1,17,20665.7,91.3
cv_0157,1,18,14760.1,65.2
cv_0157,1,19,7622.0,33.7
cv_0157,1,20,4637.8,20.5
cv_0157,1,21,3351.4,14.8
cv_0157,1,22,2532.2,11.2
cv_0157,1,23,1521.6,6.7
