station_complex_id,dow,hour,mean_ridership,pred_ridership,n_obs
299,3,2,12.014492753623188,11.91467764717382,69
299,3,3,19.66176470588235,16.368303423128577,68
299,3,4,60.67123287671233,59.76237764587039,73
299,3,5,147.89333333333335,151.73856963436617,75
299,3,6,285.2266666666667,286.7725965328583,75
299,3,7,613.08,628.2980471493494,75
299,3,8,592.3333333333334,611.5620351864735,75
299,3,9,332.8933333333333,343.62553633760893,75
299,3,10,246.29333333333332,243.72637136631718,75
299,3,11,226.42666666666668,235.03299994781764,75
299,3,12,230.32,239.17072708038808,75
299,3,13,270.2,267.9841942098321,75
299,3,14,345.88,345.78634100259,75
299,3,15,353.17333333333335,352.7456449411103,75
299,3,16,332.05333333333334,331.09364088277476,75
299,3,17,298.46666666666664,289.64795675649793,75
299,3,18,219.44,220.15111709449425,75
299,3,19,172.05333333333334,179.26906289616875,75
299,3,20,125.93333333333334,125.61625728548529,75
299,3,21,85.6,85.39784141900762,75
299,3,22,62.29333333333334,60.90722240184998,75
299,3,23,38.34722222222222,38.974977473018726,72
299,4,0,20.704225352112676,21.545114353277015,71
299,4,1,13.394366197183098,13.213260628811183,71
299,4,2,13.732394366197184,12.335857903077892,71
299,4,3,19.428571428571427,17.476617106837107,70
299,4,4,58.653333333333336,58.029388193587074,75
299,4,5,146.21333333333334,139.9750697200939,75
299,4,6,278.26666666666665,260.1181804376283,75
299,4,7,571.9733333333334,563.5288290784396,75
299,4,8,541.8266666666667,537.887766619251,75
299,4,9,308.7866666666667,308.8044820626981,75
299,4,10,243.68,248.34011530643295,75
299,4,11,239.56,245.24061800552425,75
299,4,12,238.8,247.02571115352941,75
299,4,13,286.05333333333334,271.38250099362415,75
299,4,14,367.5466666666667,355.87597058411745,75
299,4,15,367.3066666666667,359.3269098440894,75
299,4,16,345.94666666666666,347.10467991748345,75
299,4,17,322.88,297.43900144431694,75
299,4,18,242.01333333333332,242.05825088814964,75
299,4,19,205.69333333333333,199.11711625499927,75
299,4,20,149.28,148.48156175303424,75
299,4,21,111.41333333333333,108.88845090324908,75
299,4,22,80.28,80.80146801873471,75
299,4,23,50.906666666666666,50.33122200827486,75
299,5,0,32.41891891891892,33.27655253634712,74
299,5,1,18.945945945945947,18.687161403926616,74
299,5,2,15.837837837837839,15.555167529083683,74
299,5,3,16.30666666666667,16.70478830736495,75
299,5,4,36.445945945945944,36.85410355571521,74
299,5,5,71.9054054054054,70.80289261198135,74
299,5,6,124.8,119.57924810648865,75
299,5,7,178.49333333333334,182.6016405975046,75
299,5,8,236.42666666666668,241.17193542348681,75
299,5,9,232.64,238.4648506616774,75
299,5,10,239.1095890410959,238.8664346934378,73
299,5,11,237.30666666666667,244.50019968313418,75
299,5,12,257.8933333333333,248.3709567351071,75
299,5,13,278.8378378378378,282.2558602351767,74
299,5,14,291.6933333333333,302.6222474225069,75
299,5,15,290.972602739726,291.77671125478025,73
299,5,16,257.7945205479452,268.2354098583598,73
299,5,17,228.28378378378378,245.8491052253701,74
299,5,18,188.96,198.54873852568244,75
299,5,19,160.3918918918919,162.77575358792586,74
299,5,20,120.78378378378379,122.32416062614548,74
299,5,21,96.26027397260275,97.87899882636205,73
299,5,22,75.77027027027027,78.2986318251225,74
299,5,23,48.863013698630134,48.190734924717,73
299,6,0,32.36986301369863,33.478048539909466,73
299,6,1,19.845070422535212,18.655088118643164,71
299,6,2,13.028169014084508,14.886208574375383,71
299,6,3,15.424657534246576,16.474638110987055,73
299,6,4,29.40277777777778,29.92580073420224,72
299,6,5,50.333333333333336,51.233205227158116,72
299,6,6,89.64285714285714,89.69983176384352,70
299,6,7,126.43835616438356,129.38032618875144,73
299,6,8,158.23611111111111,157.7652062005472,72
299,6,9,181.19718309859155,182.45795194524837,71
299,6,10,195.3918918918919,200.4975497645314,74
299,6,11,197.64864864864865,203.93432482300872,74
299,6,12,208.94594594594594,212.71745808232933,74
299,6,13,222.6081081081081,226.6398531526519,74
299,6,14,233.56164383561645,231.18242851739396,73
299,6,15,222.72972972972974,225.30683856030595,74
299,6,16,199.58333333333334,206.8485064859223,72
299,6,17,171.26027397260273,170.81916260967418,73
299,6,18,137.2112676056338,134.37657843942628,71
299,6,19,116.34246575342466,112.80373742195172,73
299,6,20,89.77777777777777,86.12562285841311,72
299,6,21,72.40277777777777,72.97582168123706,72
299,6,22,60.15277777777778,59.61731542799296,72
299,6,23,37.02777777777778,36.175147467131914,72
300,0,0,16.112676056338028,15.701381499741478,71
300,0,1,9.084507042253522,8.772667065163732,71
300,0,2,10.183098591549296,9.964094259316695,71
300,0,3,16.492957746478872,15.443354327801233,71
300,0,4,48.32432432432432,45.721782268629084,74
300,0,5,179.02702702702703,177.64021888429681,74
300,0,6,328.94594594594594,329.1923224912793,74
300,0,7,639.2702702702703,635.8911691161069,74
300,0,8,589.1891891891892,587.4811940396986,74
300,0,9,329.7837837837838,323.69842182331655,74
300,0,10,230.36486486486487,228.4296125533567,74
300,0,11,206.74324324324326,210.28103790251507,74
300,0,12,208.3108108108108,211.02540558083,74
300,0,13,257.9189189189189,255.8809371789473,74
300,0,14,418.85333333333335,391.6669726254233,75
300,0,15,393.6081081081081,379.294270857681,74
300,0,16,316.53333333333336,309.2881235222727,75
300,0,17,279.9189189189189,262.25962287545934,74
300,0,18,212.25675675675674,209.984925421066,74
300,0,19,150.18666666666667,143.89783856614446,75
300,0,20,113.0945945945946,112.7551741488169,74
300,0,21,69.10666666666667,71.26375487419412,75
300,0,22,46.08450704225352,47.22974310584556,71
300,0,23,45.205882352941174,43.36923772211566,68
300,1,0,15.835820895522389,15.44650191205199,67
300,1,1,9.848484848484848,8.76870457380194,66
300,1,2,10.940298507462687,9.937107530456242,67
300,1,3,18.761194029850746,17.12595650847186,67
300,1,4,48.08,46.70371413951246,75
300,1,5,187.8,187.51152967191635,75
300,1,6,353.16,364.4943343128229,75
300,1,7,712.5866666666667,707.5965860792696,75
300,1,8,666.8648648648649,680.8741113565601,74
300,1,9,368.8933333333333,377.6350458361571,75
300,1,10,249.94666666666666,247.7469335711752,75
300,1,11,217.05333333333334,241.26562060627765,75
300,1,12,234.66666666666666,242.07769479612412,75
300,1,13,280.7162162162162,276.3780223424907,74
300,1,14,443.24,423.98940110082617,75
300,1,15,436.6621621621622,412.46062608554945,74
300,1,16,351.56,337.2396780680908,75
300,1,17,320.48,289.7245142023658,75
300,1,18,248.74666666666667,234.54043907038115,75
300,1,19,167.34666666666666,157.2254229406792,75
300,1,20,123.22666666666667,120.55720555045879,75
300,1,21,82.74666666666667,78.45165240335987,75
300,1,22,52.42253521126761,49.52112665265103,71
300,1,23,48.2463768115942,44.13270016756445,69
300,2,0,16.333333333333332,15.859339541510723,69
300,2,1,11.161764705882353,9.405610045896669,68
300,2,2,10.779411764705882,10.167420505259006,68
300,2,3,20.159420289855074,17.245989616418804,69
300,2,4,49.276315789473685,46.615388619009444,76
300,2,5,184.21052631578948,185.75056989376762,76
300,2,6,357.0657894736842,361.3986180548702,76
300,2,7,712.078947368421,707.0465498206042,76
300,2,8,668.421052631579,674.163556905018,76
300,2,9,370.3157894736842,373.61681965946735,76
300,2,10,254.5,246.90068093124677,76
300,2,11,240.0,240.74082890631635,76
300,2,12,243.31578947368422,242.2599715499931,76
300,2,13,273.42105263157896,278.88151921096176,76
300,2,14,428.7368421052632,423.7326095368576,76
300,2,15,400.35526315789474,408.4807879187385,76
300,2,16,350.39473684210526,334.921065179051,76
300,2,17,308.2105263157895,289.97666872008233,76
300,2,18,231.55263157894737,232.6871784465484,76
300,2,19,151.9078947368421,158.6284760971279,76
300,2,20,112.86842105263158,120.27605320920348,76
300,2,21,80.26315789473684,79.01102587197327,76
300,2,22,50.13513513513514,49.82910042707674,74
300,2,23,48.63380281690141,46.017714875940584,71
300,3,0,16.25,15.980778733533565,68
300,3,1,10.838235294117647,9.551115596294682,68
300,3,2,11.338235294117647,10.215146469977427,68
300,3,3,18.044776119402986,17.327435307339645,67
300,3,4,45.68,45.8435207499478,75
300,3,5,189.34666666666666,183.0476683767964,75
300,3,6,351.41333333333336,353.8612125155018,75
300,3,7,690.1866666666666,691.8662220823803,75
300,3,8,638.1733333333333,658.3660012702895,75
300,3,9,363.38666666666666,366.22952017415906,75
300,3,10,250.56,246.4513251159458,75
300,3,11,231.06666666666666,239.30086463332762,75
300,3,12,235.06666666666666,240.90245374182825,75
300,3,13,278.41333333333336,277.41264659782627,75
300,3,14,431.7733333333333,424.52614652432067,75
300,3,15,404.14666666666665,416.80787979603235,75
300,3,16,359.76,338.54324975401397,75
300,3,17,312.1333333333333,290.5543441662461,75
300,3,18,232.94666666666666,234.25648084872665,75
300,3,19,165.21333333333334,160.746211126051,75
300,3,20,130.2,122.40342276866723,75
300,3,21,95.96,87.25995141886911,75
300,3,22,51.888888888888886,51.97051373438405,72
300,3,23,49.84507042253521,48.84843699295463,71
300,4,0,17.347826086956523,17.32986133151788,69
