canonical_id,canonical_name,venue_type,nearest_class,nearest_dist_m,n_roads_within,dominant_class,dominant_dist_m,road_db,road_noise_prior
cv_0022,Mulberry Street Library,library,service,10.1,98,secondary,37.1,61.3,0.466
cv_0023,Coffee Project New York | Chelsea,cafe,secondary,15.4,35,secondary,15.4,65.1,0.575
cv_0024,Stumptown Coffee Roasters,cafe,residential,9.3,73,secondary,10.3,66.9,0.625
cv_0025,Gotan,cafe,pedestrian,12.0,141,secondary,21.4,63.7,0.534
cv_0035,Webster Library,library,residential,22.2,60,secondary,24.3,63.1,0.519
cv_0027,Coffee Project New York | East Village,cafe,residential,11.6,75,primary,45.4,63.4,0.527
cv_0028,Ludlow Coffee Supply,cafe,residential,10.9,118,primary,63.5,62.0,0.485
cv_0029,Now or Never Coffee,cafe,primary,9.6,153,primary,9.6,70.0,0.714
cv_0030,Irving Farm Coffee,cafe,residential,7.0,69,residential,7.0,57.0,0.343
cv_0031,The Hungarian Pastry Shop,cafe,residential,17.3,68,secondary,19.8,64.0,0.544
cv_0032,Caffe Reggio,cafe,residential,10.2,57,residential,10.2,56.9,0.34
cv_0033,Culture Espresso,cafe,residential,15.0,76,secondary,28.4,62.5,0.499
cv_0034,Schomburg Center for Research in Black Culture - New York Public Library,library,secondary,19.1,108,secondary,19.1,64.2,0.548
cv_0320,Bluestone Lane Bryant Park Coffee Shop,cafe,residential,13.8,85,secondary,35.4,61.5,0.472
cv_0036,Devoción,cafe,residential,20.5,94,primary,140.1,58.5,0.387
cv_0037,Seven Grams Caffe,cafe,secondary,14.4,54,secondary,14.4,65.4,0.584
cv_0038,The Lost Draft,cafe,secondary,17.3,67,primary,33.1,64.8,0.566
cv_0039,The Chipped Cup,cafe,primary,17.9,47,primary,17.9,67.5,0.642
cv_0040,Felix Roasting Co.,cafe,primary,17.1,67,primary,17.1,67.7,0.648
cv_0041,Devoción,cafe,pedestrian,12.4,81,secondary,56.7,59.5,0.413
cv_0042,Gregorys Coffee,cafe,residential,9.0,76,secondary,56.2,59.5,0.414
cv_0043,Think Coffee,cafe,residential,14.9,79,primary,19.0,67.2,0.635
cv_0044,Bibliotheque,cafe,residential,16.9,69,primary,39.8,64.0,0.543
cv_0045,Ground Central Coffee Company,cafe,secondary,11.6,48,secondary,11.6,66.4,0.611
cv_0046,Ariston Flowers,other,secondary,31.2,47,secondary,31.2,62.1,0.487
cv_0047,Joe Coffee Company: Waverly,cafe,residential,7.5,79,secondary,56.8,59.5,0.413
cv_0048,citizenM New York Bowery,hotel,primary,27.7,88,primary,27.7,65.6,0.588
cv_0049,Irving Farm Coffee,cafe,secondary,18.8,39,secondary,18.8,64.2,0.55
cv_0050,Dear Mama,cafe,residential,10.6,94,primary,69.1,61.6,0.474
cv_0051,PUBLIC Hotel,hotel,service,23.1,118,primary,66.8,61.8,0.479
cv_0052,787 Coffee,cafe,residential,15.5,72,secondary,106.7,56.7,0.335
cv_0053,787 Coffee,cafe,residential,11.4,69,primary,26.9,65.7,0.591
cv_0054,Capital One Café,cafe,pedestrian,5.3,75,primary,28.3,65.5,0.585
cv_0055,Ground Central Coffee Company,cafe,service,18.2,80,secondary,24.9,63.0,0.516
cv_0056,Pause Cafe,cafe,residential,9.5,84,primary,27.4,65.6,0.589
cv_0057,Remi43 Flower & Coffee,cafe,primary,21.7,118,primary,21.7,66.6,0.618
cv_0062,Buunni Coffee - Pinehurst,cafe,residential,12.8,37,motorway,151.3,63.2,0.52
cv_0058,The Marlton Hotel,hotel,secondary,16.8,66,secondary,16.8,64.7,0.564
cv_0059,Capital One Café,cafe,pedestrian,12.5,65,primary,22.3,66.5,0.615
cv_0060,The Clock Coffee Shop,cafe,residential,32.9,127,primary,56.8,62.5,0.499
cv_0061,The Townhouse Cafe,cafe,secondary,17.1,75,secondary,17.1,64.7,0.562
cv_0063,Ground Central Coffee Company,cafe,secondary,13.1,106,secondary,13.1,65.8,0.595
cv_0064,Felix Roasting Co.,cafe,primary,15.3,72,primary,15.3,68.1,0.661
cv_0065,Everyman Espresso,cafe,residential,17.1,59,primary,52.6,62.8,0.508
cv_0066,Kaffe Åre,cafe,residential,11.3,152,secondary,28.2,62.5,0.5
cv_0067,Bluestone Lane Midtown East Coffee Shop,cafe,secondary,18.1,87,secondary,18.1,64.4,0.555
cv_0068,Café Grumpy - Lower East Side,cafe,residential,23.1,93,secondary,76.3,58.2,0.376
cv_0069,Bean & Bean Chelsea,cafe,residential,16.5,53,secondary,17.0,64.7,0.563
cv_0070,Think Coffee,cafe,primary,21.6,65,primary,21.6,66.7,0.619
cv_0104,Ninth Street Espresso,cafe,residential,10.9,52,secondary,24.0,63.2,0.52
cv_0071,Barnes & Noble,cafe,residential,12.1,87,primary,69.7,61.6,0.473
cv_0072,Ost Cafe,cafe,primary,15.7,92,primary,15.7,68.0,0.658
cv_0073,Central Perk Coffee Company,cafe,residential,23.3,79,secondary,34.2,61.7,0.476
cv_0074,53rd Street Library,library,secondary,14.5,59,secondary,14.5,65.4,0.582
cv_0075,St. Agnes Library,library,primary,25.3,44,primary,25.3,66.0,0.599
cv_0076,Bloomingdale Library,library,service,28.2,77,primary,106.2,59.7,0.421
cv_0077,Yorkville Library,library,secondary,25.7,41,secondary,25.7,62.9,0.512
cv_0078,New Amsterdam Library,library,secondary,28.8,140,secondary,28.8,62.4,0.497
cv_0114,Intelligentsia Coffee High Line Hotel Coffeebar,cafe,residential,22.0,98,primary,28.2,65.5,0.586
cv_0079,Toby’s Estate Coffee,cafe,secondary,14.1,60,secondary,14.1,65.5,0.586
cv_0080,Irving Farm Coffee,cafe,residential,16.1,78,primary,135.9,58.7,0.391
cv_0081,Felix Roasting Co.,cafe,residential,10.7,107,motorway,41.9,68.8,0.679
cv_0082,Birch Coffee,cafe,primary,28.7,65,primary,28.7,65.4,0.584
cv_0083,The Roxy Hotel New York,hotel,secondary,21.4,129,secondary,21.4,63.7,0.534
cv_0084,King's Street Coffee,cafe,tertiary,12.3,80,tertiary,12.3,60.1,0.431
cv_0085,Brookfield Place,other,pedestrian,32.4,553,trunk,82.8,63.8,0.538
cv_0086,Remi Flower & Coffee,cafe,residential,20.9,102,primary,22.4,66.5,0.614
cv_0115,NewsBar Café,cafe,residential,15.2,59,primary,117.3,59.3,0.409
cv_0087,Birch Coffee,cafe,tertiary,14.2,79,primary,18.8,67.3,0.636
cv_0088,Capital One Café,cafe,secondary,21.7,79,secondary,21.7,63.6,0.533
cv_0089,Charlotte Cafe,cafe,secondary,14.9,75,primary,18.4,67.4,0.639
cv_0090,Charlotte Cafe,cafe,residential,18.6,125,primary,22.3,66.5,0.615
cv_0091,Ground Central Coffee Company,cafe,residential,10.0,80,secondary,68.9,58.6,0.389
cv_0092,Variety Coffee Roasters,cafe,residential,13.0,30,secondary,15.0,65.3,0.579
cv_0093,Bluestone Lane Manhattan West Café,cafe,tertiary,8.0,113,motorway,59.8,67.2,0.635
cv_0094,787 Coffee,cafe,residential,6.1,79,motorway,263.4,60.8,0.451
cv_0120,Chatham Square Library,library,secondary,22.2,168,secondary,22.2,63.5,0.529
cv_0095,Kona Coffee Roasters | Chelsea,cafe,residential,9.0,39,secondary,16.2,64.9,0.569
cv_0096,"P&T Knitwear Bookstore, Coffee, & Podcast Studio",cafe,residential,9.0,119,primary,59.7,62.2,0.492
cv_0097,Bar Room at the Beekman,bar,service,16.9,170,motorway,287.3,60.4,0.44
cv_0098,Mushtari Cafe,cafe,residential,19.0,64,primary,66.4,61.8,0.479
cv_0099,787 Coffee,cafe,residential,13.3,49,secondary,38.3,61.2,0.462
cv_0100,THE ELK,cafe,residential,11.7,63,trunk,217.4,59.6,0.418
cv_0101,Manhattanville Coffee,cafe,residential,10.6,39,tertiary,19.5,58.1,0.375
cv_0102,Think Coffee,cafe,secondary,19.3,102,secondary,19.3,64.1,0.547
cv_0103,Starbucks Reserve Roastery New York,cafe,pedestrian,18.2,93,secondary,23.3,63.3,0.524
cv_0160,The Drama Book Shop,other,residential,20.7,68,secondary,47.6,60.2,0.435
cv_0105,Elsewhere Espresso.,cafe,residential,11.5,57,primary,73.2,61.4,0.467
cv_0106,B Cup Cafe & Eatery,cafe,tertiary,10.0,51,tertiary,10.0,61.0,0.457
cv_0107,Hungry Ghost Coffee,cafe,residential,8.0,76,secondary,48.3,60.2,0.433
cv_0108,Irving Farm Coffee,cafe,residential,13.5,69,primary,39.5,64.0,0.544
cv_0109,Church of Heavenly Rest Café,cafe,secondary,16.3,27,secondary,16.3,64.9,0.568
cv_0110,Capital One Café,cafe,tertiary,16.5,127,primary,20.1,67.0,0.628
cv_0111,Ole & Steen,cafe,living_street,13.1,83,primary,164.7,57.8,0.367
cv_0112,Strand Book Store,other,residential,10.3,56,primary,12.5,69.0,0.687
cv_0113,Think Coffee,cafe,residential,12.3,133,primary,18.8,67.3,0.636
cv_0116,outro nyc,cafe,primary,21.5,62,primary,21.5,66.7,0.619
cv_0117,96th Street Library,library,secondary,28.5,59,secondary,28.5,62.5,0.499
cv_0118,Morningside Heights Library,library,residential,24.9,71,primary,35.1,64.5,0.558
